index,place,age,age_class,age_class2,x,y,distance,x_axis,Whether_job,title,r,,
3,Chengdu,20,1,1,197.5652461,210.714813,189.4692713,0.007294862,no,,0.85,,183.7851932
4,Yaan,20,1,1,179.0207226,221.6468255,210.329576,0.010868707,no,,0.85,,204.0196887
5,Meishan,20,1,1,193.1413268,221.2806529,198.1739287,0.011589244,no,,0.85,,192.2287109
6,Qingshen,20,1,1,192.6873115,226.6176621,201.1791171,0.012359149,no,,0.85,,195.1437436
7,Meishan,20,1,1,193.1413268,221.2806529,198.1739287,0.014105202,no,,0.85,,192.2287109
8,Chengdu,20,1,1,197.5652461,210.714813,189.4692713,0.014960639,no,,0.85,,183.7851932
9,Jiange,20,1,1,219.2636977,184.5017078,164.4232172,0.016212373,no,,0.85,,159.4905207
10,Mei,20,1,1,263.1668514,132.1736632,107.8863331,0.017503712,no,,0.85,,104.6497431
11,Fufeng,20,1,1,265.645964,130.0414982,105.1905218,0.019087728,no,,0.85,,102.0348061
12,Xian,20,1,1,282.732921,131.0543564,88.33164182,0.019507011,no,,0.85,,85.68169257
13,Lintong,20,1,1,287.1904993,130.5763362,83.84985026,0.02615463,no,,0.85,,81.33435475
14,Lingbao,20,1,1,314.7811024,127.2233795,56.05878988,0.026716567,no,,0.85,,54.37702618
15,Mianchi,20,1,1,328.8119423,121.4989779,41.54540827,0.026947492,no,,0.85,,40.29904602
16,Kaifeng,20,1,1,370.3112857,119.5431015,0,0.032532286,no,,0.85,,0
17,Meishan,21,1,1,193.1413268,221.2806529,198.1739287,0.033731695,no,,0.85,,192.2287109
18,Chengdu,23,1,1,197.5652461,210.714813,189.4692713,0.035154875,no,,0.85,,183.7851932
19,Meishan,23,1,1,193.1413268,221.2806529,198.1739287,0.037902839,no,,0.85,,192.2287109
20,Qingshen,23,1,1,192.6873115,226.6176621,201.1791171,0.040188631,no,,0.85,,195.1437436
21,Meishan,23,1,1,193.1413268,221.2806529,198.1739287,0.047253321,no,,0.85,,192.2287109
22,Leshan,23,1,1,190.8924489,232.5844118,205.6982302,0.050901942,no,,0.85,,199.5272833
23,Qianwei,23,1,1,193.6489975,240.2829374,207.5611251,0.05328893,no,,0.85,,201.3342913
